pergunta;resposta
Por que cobraram multa?;"Multas podem ser cobradas quando:

• existir diferença entre o valor declarado pelo remetente e o valor real ou estipulado pela Receita;
• faltar declaração de valor ou a declaração estiver incorreta;
• existir declaração incorreta ou incompleta de informações.

A responsabilidade pelo pagamento é do destinatário. Por isso, é importante que as compras pela internet sejam feitas em sites com boa reputação para evitar golpes ou cobranças indesejadas.

Veja <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Infracoes_e_penalidades#Multas' >exemplos detalhados sobre o cálculo de multas</a>."
Como pagar o imposto ou multa, qual o prazo e o que acontece na falta de pagamento?;"Se ao consultar sua encomenda, você recebeu mensagem sobre pendência de pagamento de impostos, significa que a fiscalização já terminou, mas a entrega da encomenda depende do pagamento. 

A encomenda pode ser devolvida ao país de origem ou declarada abandonada se o pagamento do imposto não for realizado dentro de:

- 30 dias, para encomendas vindas pelo Correio, ou
- 20 dias, para encomenda expressa.

As mercadorias com multa não são devolvidas. 

A falta de pagamento de tributos após a fiscalização ter sido concluída não permite a retomada de despacho, a encomenda poderá ser devolvida ao exterior ou considerada abandonada. Se a mercadoria for considerada abandonada, pode receber pena de perdimento.

Se a sua encomenda veio pelos Correios, faça o pagamento somente na <a href='https://www.correios.com.br/receber/encomenda/internacional' target='_blank'>Plataforma Minhas Importações</a>. Se tiver dificuldades, acesse a <a href='https://www.correios.com.br/falecomoscorreios/central-de-atendimento' >Central de Atendimento dos Correios</a>.

Se for uma encomenda expressa, pague diretamente à empresa transportadora. Consulte <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >a relação de empresas autorizadas a operar pela Receita Federal e o site de cada uma</a>. 

Não é possível parcelar. Após o pagamento, veja no site do transportador se o pagamento foi confirmado e o andamento da entrega.

Cuidado com golpes! O pagamento de impostos não é feito por transferência bancária ou depósito em conta.  Veja a reportagem onde a <a href='https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2021/marco/receita-federal-faz-alerta-sobre-fraudes-envolvendo-o-nome-da-instituicao' >Receita Federal faz alerta sobre fraudes envolvendo o nome da instituição</a>."
Como saber se o imposto foi pago antecipadamente?;"Você deve se informar com o remetente sobre o que está incluído no valor que já foi pago ou a pagar.

Verifique isso também com os Correios ou empresa de courier contratada.

Em sites idôneos, os valores cobrados a título de impostos, fretes, etc. estarão devidamente discriminados nos documentos da compra.

Cuidado com golpes! O pagamento de impostos não é feito por transferência bancária ou depósito em conta.  Veja a reportagem onde a <a href='https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2021/marco/receita-federal-faz-alerta-sobre-fraudes-envolvendo-o-nome-da-instituicao' >Receita Federal faz alerta sobre fraudes envolvendo o nome da instituição</a>."
Como o desconto obtido na compra é considerado no cálculo do imposto?;"Se você fez uma compra com desconto, e esse desconto for incondicional e válido para qualquer cliente, ele não entrará no cálculo do imposto. 

Porém, isso não vale para desconto referente a programas de fidelidade ou de milhas, por exemplo.

Neste caso, o valor utilizado para calcular o imposto será o valor de mercado do bem."
Comprar livros, revistas, CDs e DVDs por meio de encomenda internacional paga imposto?;"Não é cobrado imposto de importação de:

• livros;
• jornais;
• periódicos;
• papel para imprimir os itens acima;
• CD, DVD, disco de vinil, etc. se ele: 

	- foi produzido no Brasil contendo obras musicais ou literomusicais de autores brasileiros; ou
	- contiver obras interpretadas por artistas brasileiros.

Veja <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/nao-tributacao#outras hipoteses de nao tributacao' >aqui mais situações em que não é cobrado imposto de importação</a>.

Se você foi cobrado, clique <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P8.1' >aqui e saiba mais sobre o pedido de revisão</a>."
Por que fui tributado se minha encomenda tinha valor menor que 100 dólares?;"Notícias divulgadas na mídia sobre a suposta isenção do Imposto de Importação de bens contidos em encomendas de valor até cem dólares baseiam-se em decisões judiciais isoladas e sem efeito vinculante sobre a Administração Tributária. 

Veja <a href='https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2014/fevereiro/nota-tecnica-limite-de-isencao-em-remessas-de-pequeno-valor' >aqui a posição oficial da Receita sobre o assunto</a>."
Como enviar um bem para conserto ou troca por outro no exterior? Serei tributado?;"Você pode enviar produto para conserto ou troca por outro no exterior utilizando o regime de exportação temporária para aperfeiçoamento passivo.

<b>Haverá tributação caso seja incorporado um ou mais bens ao produto objeto de conserto, ou caso seja importado um novo bem em substituição.</b>

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Procedimentos#Envio_Conserto' >Veja aqui se o produto se encaixa nos requisitos</a>.

No retorno ao país, deverá ser informado o número correspondente da <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/exportacao-portal-unico/introducao/copy_of_conceitos-e-definicoes-gerais'>Declaração Única de Exportação (Du-e)</a><a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/declaracao#DIR' > na Declaração de Importação de encomendas (DIR)</a>.

Se você recebeu cobrança e acredita que seja indevida, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Procedimentos#Revisao' >verifique os procedimentos sobre Revisão</a>."
Como, quando e onde pedir revisão da declaração de importação de encomendas?;"Se você não concorda com o valor cobrado de imposto, apresente o Pedido de Revisão antes de pagar o tributo. 

<b>O pedido só poderá ser apresentado uma única vez para cada encomenda. </b>

Se a encomenda veio pelos Correios, você tem 30 dias para pedir a revisão no ambiente <a href='https://cas.correios.com.br/login' target='_blank' >Minhas Importações</a>.

Se a encomenda veio por transportadora de encomenda expressa, você tem 20 dias para pedir a revisão no site da transportadora.

Junte documentos que comprovem todas as informações ou o seu pedido poderá ser negado! Em alguns casos de revisão, uma nova análise pode levar à cobrança de multas e a um imposto maior.

Dúvidas ou dificuldades com a apresentação dos documentos, prazo de análise e para saber o resultado da revisão, entre em contato com os Correios ou com a transportadora.

Se o pacote já foi recebido e os impostos pagos, o pedido de análise deve ser solicitado através da abertura de um processo de restituição de impostos.

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Procedimentos#Revisao' >Clique aqui para saber mais sobre Revisão</a>."
Paguei para retirar minha encomenda mas quero pedir restituição do imposto pago;"A restituição de impostos vinculados à <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/declaracao#DIR' > Declaração de Importação de encomenda (DIR)</a> pode ser requerida se houver cancelamento ou retificação da DIR.

Apresente o pedido de cancelamento ou retificação da DIR em qualquer unidade de atendimento da Receita Federal acompanhado dos documentos abaixo. Também é possível o atendimento online através do Chat RFB ou da Caixa Corporativa de algumas unidades. <a href='https://www.gov.br/receitafederal/pt-br/canais_atendimento' >Verifique aqui a disponibilidade e horários dos canais de atendimento</a>.

• Se encomenda expressa, cópia do demonstrativo entregue pela empresa de courier ao destinatário da encomenda, relativo à DIR que será cancelada ou retificada, contendo:

	(1) Identificação da empresa;
	(2) Código de identificação da encomenda;
	(3) Número da DIR;
	(4) Descrição e valor dos bens;
	(5) Valor e base de cálculo do Imposto de Importação e multas, se for o caso;
	(6) Recibo de pagamento dos valores acima.

• Se encomenda postal, cópia do Demonstrativo de Impostos e Serviços (DIS) entregue pelos Correios, relativo à DIR que será cancelada ou retificada, junto com o comprovante de pagamento (boleto ou cartão de crédito);
• Fatura comercial da compra no exterior ou documento equivalente;
• Comprovante de pagamento da compra no exterior com vinculação clara à encomenda ou aos bens nela contidos;
• Outros documentos que auxiliem na comprovação do alegado pelo contribuinte, inclusive anúncio dos bens na página da Internet da empresa vendedora;
• Para encomenda referente a bagagem desacompanhada, cópia do passaporte com carimbos de entrada e saída no país onde residiu, cópia da passagem aérea de retorno, comprovante do consulado brasileiro do país onde residiu, no qual conste período de residência, ou documento de efeito equivalente;
• Formulário “Pedido de Reconhecimento de Direito de Crédito Decorrente de Cancelamento ou de Retificação de Declaração de Importação e Reconhecimento de Direito”.
• Se pessoa física, CPF e cópia de documento de identidade;
• Se pessoa jurídica, cópia simples do contrato ou estatuto social atualizado, e documento de identidade do signatário do pedido, com os documentos que comprovem poderes para realizar o pedido em nome da pessoa jurídica, caso os poderes não estejam expressos no contrato social ou estatuto."
As encomendas internacionais contendo medicamentos tem isenção?;"Não é cobrado imposto sobre remédios importados por pessoa física para uso humano, próprio ou individual, até o limite de US$ 10.000,00 (dez mil dólares). Essa isenção não se aplica a importações de medicamentos destinados ao uso veterinário, suplementos e cosméticos.

A importação de remédios depende de liberação da <a href='https://www.gov.br/anvisa/pt-br/assuntos/paf/importacao' target='_blank' >Agência Nacional de Vigilância Sanitária (ANVISA)</a>.

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/nao-tributacao#medicamentos' >
Para saber mais sobre isenção, clique aqui</a>.

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/habilitacao/pessoas/pessoa-fisica-em-geral/copy4_of_pessoa-fisica' >Veja aqui os procedimentos necessários para importar</a>.

Se você foi cobrado,  <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P8.1' >clique aqui e saiba mais sobre o pedido de revisão</a>."
Posso importar amostras para teste?;"Não é cobrado Imposto de Importação sobre amostras sem valor comercial, que cheguem ao país por encomenda internacional.

Para ser considerada sem valor comercial, a amostra deve conter quantidade, fragmentos ou partes suficientes apenas para avaliar a natureza, espécie e qualidade do produto.

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/nao-tributacao#Amostra' >Para saber mais sobre amostras, clique aqui</a>.

Se você foi cobrado, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P8.1' >clique aqui e saiba mais sobre o pedido de revisão</a>."
Enviei mercadoria em consignação e ela retornou porque não foi vendida  vou pagar imposto?;"Não será cobrado imposto de importação se você enviou um produto ao exterior e ele foi devolvido por um dos motivos abaixo:

• enviada em consignação e não vendida no prazo autorizado;
• defeito técnico, para reparo ou para substituição;
• mudanças na sistemática de importação por parte do país importador;
• guerra ou calamidade pública;
• outros fatores alheios à sua vontade.

Note que o envio e o retorno dos bens deve ocorrer por encomenda internacional.

Se você foi cobrado, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P8.1' >clique aqui e saiba mais sobre o pedido de revisão</a>. "
Recebi um presente do exterior mas pediram pra depositar o imposto numa conta bancária;"A Receita Federal nunca liga ou manda mensagens para cobrar o pagamento para a liberação de mercadorias. 

O pagamento dos tributos pelo responsável da encomenda é feito pelos canais oficiais dos Correios ou empresas autorizadas de courier, o repasse aos cofres públicos é feito pelas transportadoras.


Se sua encomenda foi transportada pelos Correios, <a href='https://cas.correios.com.br/login' target='_blank' >clique aqui para verificar se tem imposto a pagar e como efetuar o pagamento</a>.

Caso tenha sido transportada por outra empresa, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >consulte aqui a relação de empresas transportadoras habilitadas e o site de cada uma</a>.

Se você acha que pode estar sendo vítima de fraude ou tentativa de estelionato, registre a ocorrência numa Delegacia Policial especializada.

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2021/marco/receita-federal-faz-alerta-sobre-fraudes-envolvendo-o-nome-da-instituicao' >Cuidado com golpes</a>:<b> o pagamento de impostos nunca é feito por transferência bancária ou depósito em conta</b>."
O que pode ser importado por meio de encomendas internacionais?;"Você pode importar ou exportar qualquer bem que não seja proibido pela legislação. Se importar algo proibido, sua encomenda poderá ser apreendida.

Lembre-se que para que a sua encomenda siga o regime de tributação simplificada (RTS), o valor não pode ser superior a US$ 3.000,00 (três mil dólares) ou o equivalente em outra moeda. <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/restricoes-proibicoes#restricoes' >Veja outros casos em que  não poderá usar o RTS</a>.


<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/restricoes-proibicoes' >Veja aqui os itens proibidos de entrar no país por meio de encomenda internacional</a>. 

Verifique, também, os limites de peso e tamanho aceitos pela transportadora que contratar. 

<b>É expressamente vedada a importação de armas de fogo, seus acessórios e peças, de munições e seus componentes, por meio dos Correios.</b>

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/viagens-internacionais/guia-do-viajante/links-uteis' >E confirme se existem proibições de outros órgãos</a>.

"
Pessoa física pode importar mercadorias com finalidade comercial e/ou industrial por encomenda internacional?;"Pessoa Física não pode importar com finalidade comercial e/ou industrial.

Se a encomenda foi declarada em nome de pessoa física mas o destinatário for uma pessoa jurídica, é possível retificar a declaração para o nome da pessoa jurídica vinculada. Neste caso, a encomenda pode ser retida para esclarecimentos e pode haver penalidade. 

Para evitar atrasos e penalidades, o exportador deve identificar corretamente o destinatário nos documentos que acompanham a encomenda, informando CNPJ e razão social da pessoa jurídica, e descrevendo corretamente a mercadoria e os valores envolvidos.

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P10.3' >Clique aqui e saiba mais sobre o tema</a>."
Posso importar qualquer produto usado por encomenda internacional?;"Somente podem ser importados por meio da Declaração de Importação de encomenda (DIR) os bens usados:

• de uso ou consumo pessoal integrantes de bagagem desacompanhada (se não foi feita a opção pelo Regime de Tributação Especial sobre Bagagem);
• exportados temporariamente, na forma prevista no <a href='http://normas.receita.fazenda.gov.br/sijut2consulta/link.action?visao=anotado&idAto=86226' target='_blank'' >art. 75 da IN RFB nº 1.737/2017</a>, que retornem ao País;
• exportados temporariamente, por pessoas físicas, que retornem ao País;
• meios físicos que compreendam circuitos integrados, semicondutores e dispositivos similares, gravados com o conteúdo equivalente a documento;
• livros, outros impressos, fotografias e documentos;
• objetos artísticos e antiguidades; e
• destinados a uso ou consumo pessoal, importados por pessoa física."
Posso importar partes e peças para veículos automotores por encomenda internacional? ;"Pessoa Física pode importar partes e peças para veículos automotores, desde que para uso de veículo próprio.

Pessoa Jurídica pode importar partes e peças para comércio ou industrialização."
Quais as condições para importação de software sem finalidade comercial?;"Para importar softwares, sem finalidade comercial, você deverá informar separadamente na fatura:

• o valor do meio físico (CDs ou DVDs) e 
• o valor do trabalho intelectual (conteúdo do software).

Dessa forma, o tributo será cobrado somente sobre o meio físico."
Como posso corrigir ou alterar o endereço de entrega da encomenda?;"Encomenda Postal: alteração de endereço precisa ser solicitada ao remetente antes do envio, pois esta informação deve constar no documento que acompanhará a encomenda. Se a encomenda for enviada com endereço incorreto ou incompleto, poderá ser devolvida à origem. 

Encomenda Expressa: alteração de endereço pode ser solicitada à empresa pelo remetente.

Para mais informações, verifique com os <a href='https://cas.correios.com.br/login' target='_blank'>Correios</a> ou com a <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >empresa transportadora responsável</a>."
Quais dados do destinatário  do remetente e da encomenda devem ser informados no conhecimento postal?;"Para evitar atrasos ou devolução da encomenda, é necessário informar nos <b>dados do destinatário</b> todas as informações abaixo:

• número do CPF ou, se pessoa física estrangeira, o número do passaporte;
• número do CNPJ, se pessoa jurídica;
• nome completo ou razão social.

Nos <b>dados do remetente</b> devem ser informados obrigatoriamente:

• a identificação detalhada da pessoa física ou jurídica que enviou a encomenda internacional e
• o endereço.

O conteúdo da encomenda internacional deve ser descrito em detalhes, contendo a marca e o modelo dos produtos, e outras informações para perfeita identificação deles.

Deve ser indicada, também, se a importação é compra, bagagem desacompanhada, retorno de bens enviados ao exterior para conserto, presente, etc.

Na falta destes dados, a fiscalização pode não autorizar a importação, ocasionando na devolução da encomenda ao país de origem ou no seu abandono.
"
Posso solicitar que as informações sejam retificadas para que a fiscalização não aplique multa?;"Antes da apresentação da encomenda à fiscalização, ou seja, do registro da <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/declaracao#DIR' >Declaração de Importação de encomenda (DIR)</a> pelos correios ou transportadora, você pode pedir a retificação de informações ao Correio ou empresa de encomenda Expressa.

Após o registro da DIR, a encomenda poderá sofrer penalidade se houver informações divergentes.

<a href='https://cas.correios.com.br/login' target='_blank' >Clique aqui, se sua encomenda foi transportada pelos Correios</a>.

Caso tenha sido transportada por outra empresa, consulte <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' > a relação de empresas transportadoras habilitadas e o site de cada uma</a>."
